season_number,episode_number_overall,episode_number,episode_title,episode_description,episode_airdate,episode_director,episode_writer,imdb_rating,imdb_votes,us_viewers_in_millions
1,1,1,Extreme Aggressor,The team travels to Seattle to find the captor of four missing women.,2005-09-22,Richard Shepard,Jeff Davis,7.8,2969,19.57
1,2,2,Compulsion,The team are called to an Arizona college when an arsonist who operates in a very unusual way kills a student.,2005-09-28,Charles Haid,Jeff Davis,7.6,2486,10.57
1,3,3,Won't Get Fooled Again,A bomber in Palm Beach forces Gideon to confront an old adversary.,2005-10-05,Kevin Bray,Aaron Zelman,7.6,2460,11.98
1,4,4,Plain Sight,A serial rapist-killer active in San Diego targeting middle class women glues his victims eyes open.,2005-10-12,Matt Earl Beesley,Edward Allen Bernero,7.7,2236,13.76
1,5,5,Broken Mirror,"One of a lawyer's identical twin daughters is kidnapped. The kidnapper contacts him and demands ransom money. The team's investigation, however, reveals that he doesn't really want the money, but both girls.",2005-10-19,Guy Norman Bee,Judith McCreary,7.9,2319,12.79
1,6,6,L.D.S.K.,"The team chases a sniper in Des Plaines, Illinois who for some reason only wounds his victims.",2005-11-02,Ernest Dickerson,Andrew Wilder,8.3,2854,16.22
1,7,7,The Fox,The team attempts to catch a killer who preys on families while they are supposed to be on vacation.,2005-11-09,Guy Norman Bee,Simon Mirren,7.9,2271,15.09
1,8,8,Natural Born Killer,The disappearance of an undercover officer in relation to a triple murder puts the BAU on the hunt of a possible serial killer who's turned it into a profession.,2005-11-16,Peter Ellis,Debra J. Fisher & Erica Messer,7.6,2176,14.36
1,9,9,Derailed,"A paranoid schizophrenic takes other passengers on a train hostage, including Elle.",2005-11-23,Félix Alcalá,Jeff Davis,7.8,2940,12.83
1,10,10,The Popular Kids,"The apparent death by Satanic ritual brings the BAU to a small town, and the profiling morphs into a search when it's learned that a teenage girl is missing.",2005-11-30,Andy Wolk,Edward Allen Bernero,7.5,2623,15.56
1,11,11,Blood Hungry,"The BAU team must profile a delusional killer in rural Tennessee, and a family member protecting him puts a child at risk.",2005-12-14,Charles Haid,Ed Napier,7.1,2751,15.23
1,12,12,What Fresh Hell?,"The team must determine whether an abducted girl is the pawn in a bitter divorce, or something more sinister has happened.",2006-01-11,Adam Davidson,Judith McCreary,7.4,1957,15.92
1,13,13,Poison,"The apparent spiking of citizens of a town in New Jersey, puts the BAU on the trail of a poisoner who may not be done.",2006-01-18,Thomas J. Wright,Aaron Zelman,7.3,2032,14.65
1,14,14,Riding the Lightning,The team of investigators interview husband and wife serial killers with their execution date set for two days time.,2006-01-25,Chris Long,Simon Mirren,8.5,3784,14.1
1,15,15,Unfinished Business,"When a serial killer reappears, the team works with a retired BAU agent who just published a book about the perpetrator.",2006-03-01,J. Miller Tobin,Debra J. Fisher & Erica Messer,7.7,2022,11.72
1,16,16,The Tribe,"The massacre of students using Native American rituals leads the team to consult the reservation policeman, who is also an activist.",2006-03-08,Matt Earl Beesley,Andrew Wilder,7.6,2217,15.27
1,17,17,A Real Rain,The team travels to Manhattan to work with the NYPD in tracking and apprehending a serial killer who is intent on dispensing his own style of vigilante justice.,2006-03-22,Gloria Muzio,Chris Mundy,7.6,2035,13.03
1,18,18,Somebody's Watching,"In town to conduct a seminar, Gideon and Reid become involved in a stalker case that has escalated to murder.",2006-03-29,Paul Shapiro,Ed Napier,8.2,3137,12.54
1,19,19,Machismo,The BAU is requested to assist on a case in Mexico to determine if there is a serial killer in the town of a police captain who attended one of Gideon's seminars.,2006-04-12,Guy Norman Bee,Aaron Zelman,7.2,2146,11.76
1,20,20,Charm and Harm,"Team members track a known ""chameleon"" serial killer across the southeastern U.S. trying to stop him before he kills again.",2006-04-19,Félix Alcalá,Debra J. Fisher & Erica Messer,7.5,1975,13.53
1,21,21,Secrets and Lies,"The BAU team investigates a CIA counter-terrorism unit to identify a traitor who had a fellow agent murdered and who is trying to find and kill the unit's informant, a Saudi woman with two children who are in hiding.",2006-05-03,Matt Earl Beesley,Simon Mirren,7.6,2645,12.17
1,22,22,"The Fisher King, Part 1",Team members become pawns of a psychopathic killer.,2006-05-10,Edward Allen Bernero,Edward Allen Bernero,8.5,2932,12.67
2,23,1,"The Fisher King, Part 2","Elle's fate is unknown, and the unsub continues dropping clues as the team scrambles to identify him before another tragedy occurs.",2006-09-20,Gloria Muzio,Edward Allen Bernero,8.6,2681,15.65
2,24,2,P911,The case of a missing boy placed up for auction online by a child pornographer draws the BAU team to work together with a former profiler who now works for the Innocent Images Unit to find the boy before the auction ends.,2006-09-27,Adam Davidson,Simon Mirren,7.9,1998,16.54
2,25,3,The Perfect Storm,"The BAU team investigates a series of murders in Florida, suspecting a partnership between two deviant persons with complementary personalities due to the nature of torture videos taken of the victims sent to the victims' parents.",2006-10-04,Félix Alcalá,Debra J. Fisher & Erica Messer,7.7,1811,15.19
2,26,4,Psychodrama,The team flies to Los Angeles to pursue a bank robber who is quickly disintegrating into an enraged sexually-motivated spree killer.,2006-10-11,Guy Norman Bee,Aaron Zelman,7.5,1960,16.73
2,27,5,Aftermath,"As the team assists in finding a rapist in Ohio, Elle's actions may compromise her career.",2006-10-18,Tim Matheson,Chris Mundy,7.6,2011,16.2
2,28,6,The Boogeyman,"While the team profiles a killer in a small town, Hotch must stay and deal with Elle who is beginning to unravel.",2006-10-25,Steve Boyum,Andi Bushell,7.8,2376,16.77
2,29,7,North Mammon,Three soccer stars are abducted and the unsub plays games while the B.A.U. desperately tries to narrow down the suspects.,2006-11-01,Matt Earl Beesley,Andrew Wilder,8.0,2122,16.97
2,30,8,Empty Planet,"When a bomber targets Seattle, the BAU has to determine if it's a protest group or an individual with a much different agenda.",2006-11-08,Elodie Keene,Ed Napier,7.6,1970,17.57
2,31,9,The Last Word,"Two serial killers send the BAU to St. Louis, and a new team member reports for duty.",2006-11-15,Gloria Muzio,Debra J. Fisher & Erica Messer,7.8,1912,16.48
2,32,10,Lessons Learned,"When a bomb is found at what was thought to be a drug lab the BAU is brought in, and while Hotch conducts a state-side investigation Gideon matches wits with a prisoner at Guantánamo Bay.",2006-11-22,Guy Norman Bee,Jim Clemente,8.3,2173,16.56
2,33,11,"Sex, Birth, Death","A young man seeks out Reid for help regarding his fantasies of killing prostitutes, just as a serial killer starts brutalizing prostitutes near the capitol.",2006-11-29,Gwyneth Horder-Payton,Chris Mundy,8.5,3037,17.92
2,34,12,"Profiler, Profiled","Derek is arrested as a serial killer, and the team must delve into his secrets in order to free him.",2006-12-13,Glenn Kershaw,Edward Allen Bernero,8.0,2240,16.06
2,35,13,No Way Out,"Gideon matches wits against the most prolific serial killer ever found, and the results are surprising.",2007-01-17,John Gallagher,Simon Mirren,8.3,2154,12.99
2,36,14,The Big Game,The slaughter of a wealthy couple just after a Super Bowl party puts the BAU on the trail of two killers.,2007-02-04,Gloria Muzio,Edward Allen Bernero,8.1,2118,26.31
2,37,15,Revelations,"Reid has been kidnapped, and the BAU's only things to profile are a house, a computer, and the live feed the kidnapper is sending to them.",2007-02-07,Guy Norman Bee,Chris Mundy,8.8,3419,16.27
2,38,16,Fear and Loathing,The death of four African-American girls in a a predominately white community brings the BAU in to try to solve the case before racial tensions explode into violence.,2007-02-14,Rob Spera,Aaron Zelman,7.5,1987,15.16
2,39,17,Distress,"The seemingly random killings in a Houston ward bring the BAU down for the profile, but finding the pattern proves difficult.",2007-02-21,John F. Showalter,Oanh Ly,7.7,1920,13.7
2,40,18,Jones,The BAU travels to New Orleans' French Quarter where a Jack the Ripper type serial killer is on the loose.,2007-02-28,Steve Shill,Andi Bushell,8.1,2730,14.5
2,41,19,Ashes and Dust,The team tries to identify a serial arsonist who has escalated to murder.,2007-03-21,John Gallagher,Andrew Wilder,7.7,1970,15.19
2,42,20,Honor Among Thieves,"The BAU finds themselves sparring with the Russian Mob, but even more puzzling is the behavior of one of the victims.",2007-04-11,Jesús Treviño,Aaron Zelman,7.1,2443,12.8
2,43,21,Open Season,The team is called to investigate when bodies of missing people are discovered in the Idaho wilderness. This leads the team to determine that the subjects they are profiling have been hunting humans for sport.,2007-05-02,Félix Alcalá,Debra J. Fisher & Erica Messer,7.9,2112,13.28
2,44,22,Legacy,"A detective presents himself at the BAU, asking for help because the homeless in his area have begun to disappear.",2007-05-09,Glenn Kershaw,Edward Allen Bernero,8.1,1976,12.92
2,45,23,"No Way Out, Part II: The Evilution of Frank","Frank is back on the hunt, and the team must protect Gideon while he profiles Frank again. Elsewhere, the team faces a review with some surprising results.",2007-05-16,Edward Allen Bernero,Simon Mirren,8.2,2666,13.21
3,46,1,Doubt,The team tries to identify a serial killer based on a shaky profile with devastating consequences.,2007-09-26,Gloria Muzio,Chris Mundy,7.6,1849,12.66
3,47,2,In Name and Blood,"With Gideon still missing, Hotchner puts in for a transfer and Prentiss tenders her resignation, but both are drawn back to work by a serial killer targeting women in a particularly heartless fashion.",2007-10-03,Edward Allen Bernero,Chris Mundy,7.9,1924,14.56
3,48,3,Scared to Death,The unit tracks a man working through his fears by working them out on others.,2007-10-10,Félix Alcalá,Debra J. Fisher & Erica Messer,7.6,1957,14.55
3,49,4,Children of the Dark,"The BAU travels to Denver, Colorado, where they investigate a series of home invasions that end in the murders of entire families. However, the case takes a turn when they begin to suspect that the killers were once-abused children.",2007-10-17,Guy Norman Bee,Dan Dworkin & Jay Beattie,7.9,1849,15.03
3,50,5,Seven Seconds,"The unit works against the clock when a little girl disappears in a mall, believing a serial killer has struck a second time and the first girl died within an hour of abduction.",2007-10-24,John Gallagher,Andi Bushell,8.2,2037,15.05
3,51,6,About Face,"The team gains a new, familiar. member and some growing pains while trying to find the latest victim of a killer who puts up wanted posters of his victims before he abducts them.",2007-10-31,Skipp Sudduth,Charles Murray,7.5,1837,14.94
3,52,7,Identity,The unit has to deal with the militia when they're called to rural Montana to track a killer who's obsessed with his mentor.,2007-11-07,Gwyneth Horder-Payton,Oanh Ly,7.4,1842,14.65
3,53,8,Lucky,"A killer is abducting women and forcing them to eat fingers before killing them, Rossi plays with Morgan's head, and Garcia meets a man at the local coffee shop.",2007-11-14,Steve Boyum,Andrew Wilder,8.2,2747,15.73
3,54,9,Penelope,More is learned about Garcia while the team tries to find the persistent unsub threatening her.,2007-11-21,Félix Alcalá,Chris Mundy,8.6,2927,15.88
3,55,10,True Night,"The team heads to LA to investigate a number of brutal killings which turn out to be related to the creator of a graphic novel, Jonny McHale.",2007-11-28,Edward Allen Bernero,Edward Allen Bernero,7.8,2158,16.23
3,56,11,Birthright,"The team travels to Fredericksburg, Virginia, where women are being abducted, burned and mutilated. Soon it turns out that similar killings happened in the 1980s.",2007-12-12,John Gallagher,Debra J. Fisher & Erica Messer,7.7,1892,14.18
3,57,12,3rd Life,"Two teenage girls go missing, one of which is soon found dead and freshly buried. The team soon suspects that the killings are related to the witness protection program.",2008-01-09,Anthony Hemingway,Simon Mirren,8.0,2071,14.3
3,58,13,Limelight,The auction of the contents of a self-storage facility in Philadelphia reveal a possible serial killer in the making.,2008-01-23,Glenn Kershaw,Dan Dworkin & Jay Beattie,7.6,1906,12.67
3,59,14,Damaged,"Rossi determines that the case that haunts him has gone unsolved too long on its 20th anniversary, and the team horns in on his investigation despite his displeasure. Elsewhere, Reid and Hotchner interview a manipulative death-row convict.",2008-04-02,Edward Allen Bernero,Edward Allen Bernero,7.9,2589,12.81
3,60,15,A Higher Power,An unusually high suicide rate in Pittsburgh appears to be the work of an Angel of Death.,2008-04-09,Félix Alcalá,Michael Udesky,7.4,1967,13.33
3,61,16,Elephant's Memory,"When a spree killing begins in a small Texas town, Reid's identification with the killer may endanger the girl with him, and cause Reid to put his own life in jeopardy.",2008-04-16,Bobby Roth,Andrew S. Wilder,8.3,2729,12.98
3,62,17,In Heat,The team travels to Miami in pursuit of a serial killer whose conflicted sexual identity fuels his crimes.,2008-04-30,John Gallagher,Andi Bushell,7.6,2011,13.03
3,63,18,The Crossing,"As a favor to the D.A. in Boston, Hotchner and Rossi profile a woman who murdered her husband, though the D.A. may not like their findings. Back at the office, J.J.'s personalization of a stalker case baffles the rest of the team.",2008-05-07,Guy Norman Bee,Debra J. Fisher & Erica Messer,7.6,1861,12.88
3,64,19,Tabula Rasa,"A suspected serial killer who's been in a coma since 2004 due to an accident when he was arrested wakes up 4 years later, with no memory of his past, not even his name. While he is tried in court, in which Hotch is testifying against him, the rest of the team investigates his past further.",2008-05-14,Steve Boyum,Dan Dworkin & Jay Beattie,8.1,2532,12.88
3,65,20,Lo-Fi,People who apparently have nothing in common are being shot randomly in New York City and the team must determine whether it is the work of a single shooter or a team.,2008-05-21,Glenn Kershaw,Chris Mundy,8.5,2673,13.15
4,66,1,Mayhem,"As the city is on high alert, the team begins to believe that they have made a mistake with the profile and that everything the terrorists have done so far may in fact just have been diversion for something even bigger.",2008-09-24,Edward Allen Bernero,Simon Mirren,8.5,2847,17.01
4,67,2,The Angel Maker,"On the anniversary of a serial killer's execution, a murder spree which appears to be connected to him begins and the team must try and understand his mind in order to stop it.",2008-10-01,Glenn Kershaw,Dan Dworkin & Jay Beattie,7.7,2031,14.78
4,68,3,Minimal Loss,"Reid and Prentiss, having gone undercover into an underground cult to investigate child abuse, get trapped inside the compound when a federal raid on it goes bad.",2008-10-08,Félix Alcalá,Andrew Wilder,8.2,2656,16.19
4,69,4,Paradise,A serial killer targeting couples stages their bodies in a way to make their deaths look like car accidents.,2008-10-22,John Gallagher,Debra J. Fisher & Erica Messer,7.6,1918,15.01
4,70,5,Catching Out,"A man is jumping trains along Highway 99, brutally killing couples in their homes whenever he stops.",2008-10-29,Charles Haid,Oanh Ly,7.3,1911,13.97
4,71,6,The Instincts,A child abduction case in Las Vegas causes Reid to have strange nightmares which appear to be connected to an event in his past.,2008-11-05,Rob Spera,Chris Mundy,8.1,2593,14.3
4,72,7,Memoriam,"Driven by his nightmares, Reid stays behind in Las Vegas to find his father in order to find out the truth about Riley Jenkins' murder.",2008-11-12,Guy Norman Bee,Dan Dworkin & Jay Beattie,8.4,2695,14.83
4,73,8,Masterpiece,A serial killer turns himself in and challenges the team to find five people he has hidden somewhere before they die.,2008-11-19,Paul Michael Glaser,Edward Allen Bernero,8.3,2275,16.33
4,74,9,52 Pickup,"A greatly sadistic serial killer who disembowels women and forces them to clean it up before killing them proves difficult to catch thanks to his social charm and simple, yet clever, disguises.",2008-11-26,Bobby Roth,Breen Frazier,7.9,2103,14.11
4,75,10,Brothers in Arms,"Morgan, an ex-cop, takes it personally when a serial killer targets police officers in Phoenix, Arizona.",2008-12-10,Glenn Kershaw,Holly Harold,7.6,1805,14.68
4,76,11,Normal,"A serial killer known as the Road Warrior is gunning down blonde women on roads in Orange County, California and the BAU suspect that the victims are surrogates and that it's only a matter of time before he kills the real one.",2008-12-17,Steve Boyum,Andrew S. Wilder,8.3,2042,15.16
4,77,12,Soul Mates,The team suspects that a member of an affluent community is responsible for the disappearance of a young woman.,2009-01-14,John Gallagher,Debra J. Fisher & Erica Messer,7.6,1737,13.78
4,78,13,Bloodline,"A family consisting of two parents and their son break into a home, kill the parents and kidnap their daughter. As the investigation proceeds, the BAU team begin to suspect that what they're dealing with is bigger than they thought.",2009-01-21,Tim Matheson,Mark Linehan Bruner,7.8,1839,13.82
4,79,14,Cold Comfort,"A serial killer in the Olympia, Washington area has abducted four blonde, twenty-something women. When the third victim is found embalmed, the BAU are called in and suspect that the embalming is a way for him to spend more time with them.",2009-02-11,Anna J. Foerster,Dan Dworkin & Jay Beattie,7.4,1645,12.48
4,80,15,Zoe's Reprise,A copycat serial killer is recreating murder techniques used by famous killers from the past.,2009-02-18,Charles S. Carroll,Oanh Ly,8.1,1854,14.54
4,81,16,Pleasure Is My Business,A high priced call girl that is killing her clients must be found and stopped.,2009-02-25,Gwyneth Horder-Payton,Breen Frazier,8.0,2065,13.93
4,82,17,Demonology,"Prentiss learns from an old friend, John Cooley, that their mutual friend, Matthew Benton, just died from a heart attack. Prentiss had not seen either man in several years, both for different reasons. John also mentions that Matthew thought he was going to be killed just like ""Tommy V."" In searching, Garcia does find someone matching that name in the area who recently died from dehydration. There are similarities between the two deaths but no medical rationale for tying the two together as murders. A third person in the area then dies in a similar way but again no ...",2009-03-11,Edward Allen Bernero,Chris Mundy,7.0,2322,14.34
4,83,18,Omnivore,"After being inactive for 10 years, Hotch's first BAU case, an elusive serial killer known as the Reaper, starts killing again.",2009-03-18,Nelson McCormick,Andrew S. Wilder,8.5,2165,13.74
4,84,19,House on Fire,"When the kill count of a mass-murdering arsonist active in a small town reaches 31, the BAU are called in.",2009-03-25,Félix Alcalá,Holly Harold,7.3,2408,14.36
4,85,20,Conflicted,"Male college students on spring break are being raped and murdered, presumably by a man and a woman working together. The BAU are called in and suspect a shy hotel cleaner and a receptionist.",2009-04-08,Jason Alexander,Rick Dunkle,8.4,2929,13.61
4,86,21,A Shade of Gray,"An AMBER alert is activated for a young boy in Cherry Hill, New Jersey and the BAU suspect it to be the work of a pedophile who has abducted and killed two other boys.",2009-04-22,Karen Gaviola,Debra J. Fisher & Erica Messer,7.9,1726,13.72
4,87,22,The Big Wheel,The team tracks down a highly obsessive-compulsive killer who targets blonde women and leaves messages to the police asking them to stop him.,2009-04-29,Rob Hardy,Simon Mirren,8.2,2787,13.61
4,88,23,Roadkill,"A serial killer in Bend, Oregon is deliberately killing people by running them over with his car.",2009-05-06,Steve Boyum,Dan Dworkin & Jay Beattie,7.4,1947,14.13
4,89,24,Amplification,"The BAU co-work with the U.S. Army to find the perpetrator behind an anthrax attack on a park in Annapolis, Maryland.",2009-05-13,John Gallagher,Oanh Ly,8.4,2688,13.37
4,90,25,To Hell... And Back,"The team head to Canada to investigate the disappearances of a number of homeless people, drug users and sex workers and uncover something horrific.",2009-05-20,Charles Haid,Chris Mundy,8.4,2162,13.99
5,91,1,"Nameless, Faceless","A man is threatening to kill a doctor's son and is killing a man a day until he is successful. Meanwhile, Hotch's absence is noticed by Prentiss.",2009-09-23,Charles S. Carroll,Chris Mundy,7.9,2035,15.85
5,92,2,Haunted,"Darrin Call, a psychotic, suffers a breakdown in a pharmacy in Kentucky and stabs 3 people to death before running off and the BAU are called in to catch him.",2009-09-30,Jon Cassar,Erica Messer,7.7,2436,14.24
5,93,3,Reckoner,A hitman targeting people in some way guilty of children-related crimes brings the BAU to Rossi's home town.,2009-10-07,Karen Gaviola,Dan Dworkin & Jay Beattie,7.4,2376,14.05
5,94,4,Hopeless,The BAU go after a pack of killers who mercilessly beat their victims to death simply for the thrill of violence.,2009-10-14,Félix Alcalá,Chris Mundy,7.3,1962,13.92
5,95,5,Cradle to Grave,The team hunts a suspect who impregnates young women and has them give birth before murdering them.,2009-10-21,Rob Spera,Breen Frazier,7.6,1627,14.27
5,96,6,The Eyes Have It,The BAU team tracks a serial killer who keeps the eyes of his victims as souvenirs.,2009-11-04,Glenn Kershaw,Oanh Ly,7.2,1703,12.55
5,97,7,The Performer,The BAU team follows a trail of murders that seems to align with the tour schedule of a rock star.,2009-11-11,John Badham,Holly Harold,7.4,1927,12.77
5,98,8,Outfoxed,"While tracking a family annihilator, the BAU must seek advice from ""The Fox,"" one of the most horrific killers from the team's past who has an ominous message for Agent Hotchner.",2009-11-18,John Gallagher,Simon Mirren,7.7,1627,13.7
5,99,9,100,The BAU team races to help Hotchner find The Reaper and save his family before it's too late.,2009-11-25,Edward Allen Bernero,Bo Crese[N 1],9.1,3498,13.61
5,100,10,The Slave of Duty,"While Agent Hotchner takes a leave of absence from the BAU, the team must regroup to solve a home invasion case.",2009-12-09,Charles Haid,Rick Dunkle,7.7,1660,14.43
5,101,11,Retaliation,The BAU must profile a criminal's past in order to catch him after he escapes from custody and begins a killing spree.,2009-12-16,Félix Alcalá,Erica Messer,7.3,1646,14.68
5,102,12,The Uncanny Valley,"An unusual personal obsession is at the center of a BAU abduction case. Meanwhile, Hotch struggles with his return to work.",2010-01-13,Anna J. Foerster,Breen Frazier,8.4,2704,13.9
5,103,13,Risky Business,A rash of startling teen suicides in a small Wyoming town is the focus of a BAU investigation.,2010-01-20,Rob Spera,Jim Clemente,7.7,2440,14.91
5,104,14,Parasite,The BAU follows the mental decline of a con artist whose schemes have become so complicated that he begins to eliminate the people involved in them.,2010-02-03,Charles S. Carroll,Oanh Ly,7.4,1601,14.75
5,105,15,Public Enemy,A serial killer who targets random victims in highly visible places to create a sense of public fear is the subject of a BAU investigation.,2010-02-10,Nelson McCormick,Jess Prenter Prosser,7.6,1564,14.33
5,106,16,Mosley Lane,The BAU profiles a child abductor who may have been keeping children for more than eight years.,2010-03-03,Matthew Gray Gubler,Simon Mirren & Erica Messer,8.9,3342,13.0
5,107,17,Solitary Man,The relatively new Highway Serial Killer Database reveals an interstate serial killer who abducts then strangles women without sexually assaulting them.,2010-03-10,Rob Hardy,Kimberly Ann Harrison & Ryan Gibson,7.5,1536,13.29
5,108,18,The Fight,The BAU team travels to San Francisco to investigate the murders of several homeless men and teams up with a separate group of BAU operatives who are working another case they think is connected.,2010-04-07,Richard Shepard,Teleplay by : Chris Mundy Story by : Chris Mundy & Edward Allen Bernero,7.3,1831,12.7
5,109,19,A Rite of Passage,The BAU team heads to Texas to track a serial killer targeting illegal immigrants attempting to make safe passage into the U.S..,2010-04-14,John Gallagher,Victor De Jesus,7.3,1736,12.44
5,110,20,…A Thousand Words,"The BAU team must profile a serial killer covered in tattoos, who commits suicide but leaves clues to the whereabouts of his last victim.",2010-05-05,Rosemary Rodriguez,Edward Allen Bernero,7.9,2063,12.39
5,111,21,Exit Wounds,"The team, including Garcia, go to the small town of Franklin, Alaska, to catch a rapidly escalating serial killer before the locals take justice into their own hands.",2010-05-12,Charles S. Carroll,Rick Dunkle,7.5,2365,13.07
5,112,22,The Internet Is Forever,"A serial killer in Boise, Idaho, is revealed to have been posting his murders on the Internet, accumulating quite a collection of fans in the process.",2010-05-19,Glenn Kershaw,Breen Frazier,7.7,1956,13.25
5,113,23,Our Darkest Hour,The BAU is called to California when a sadistic serial killer appears and begins killing people in the dark during the rolling blackouts.,2010-05-26,Edward Allen Bernero,Erica Messer,7.9,1794,12.97
6,114,1,The Longest Night,"As The Prince of Darkness continues his murderous rampage across California, the BAU go after him to save Detective Spicer's daughter from him.",2010-09-22,Edward Allen Bernero,Edward Allen Bernero,8.0,1951,14.13
6,115,2,JJ,"While trying to get two suspects to reveal what they've done with a missing woman, the BAU brace themselves for the loss of one of their own.",2010-09-29,Charles S. Carroll,Erica Messer,8.1,2054,14.57
6,116,3,Remembrance of Things Past,"When several women are found murdered in a similar fashion, Rossi revisits a case that has haunted him for 25 years.",2010-10-06,Glenn Kershaw,Janine Sherman Barrois,7.7,1637,13.87
6,117,4,Compromising Positions,"The BAU team searches for a serial killer who is preying on married couples. Also, Hotchner looks to one of the team to fill JJ's vacant role.",2010-10-13,Guy Norman Bee,Breen Frazier,7.3,2326,14.0
6,118,5,Safe Haven,"The BAU team is on the trail of a serial killer targeting families throughout the Midwest. Meanwhile, Morgan is concerned when Ellie runs away from her foster family and pays him a visit.",2010-10-20,Andy Wolk,Alicia Kirk,7.7,1715,14.46
6,119,6,Devil's Night,The BAU go to Detroit to catch a man who burns his victims alive during the pre-Halloween celebration Devil's Night.,2010-10-27,Charlie Haid,Randy Huggins,7.2,1708,13.94
6,120,7,Middle Man,"When bodies begin turning up in the cornfields of Indiana, the team must catch a pack of serial killers targeting exotic dancers.",2010-11-03,Rob Spera,Rick Dunkle,7.6,2385,14.58
6,121,8,Reflection of Desire,The team hunts a serial killer after a kidnapped woman is found murdered in an alley with her lips cut off.,2010-11-10,Anna J. Foerster,Simon Mirren,7.6,2507,12.56
