season_number,episode_number_overall,episode_number,episode_title,episode_description,episode_airdate,episode_director,episode_writer,imdb_rating,imdb_votes,us_viewers_in_millions
6,122,9,Into the Woods,"When a boy is found murdered on the Appalachian Trail, the BAU team goes deep into its forests in search of a man lurking in the wilderness who is targeting children.",2010-11-17,Glenn Kershaw,Kimberly Ann Harrison,7.7,1804,14.39
6,123,10,What Happens at Home,The team searches a gated community for a killer who has strangled several women.,2010-12-08,Jan Eliasberg,Edward Allen Bernero,7.6,1656,14.23
6,124,11,25 to Life,Morgan regrets his decision that a prisoner is ready for parole when the man murders someone days after being released.,2010-12-15,Charles S. Carroll,Erica Messer,7.7,1633,13.77
6,125,12,Corazon,"While the BAU are in Miami investigating a series of bizarre ritualistic murders, Reid suffers from intense migraines which makes him concerned about his health.",2011-01-19,John Gallagher,Katarina Wittich,7.6,2443,12.02
6,126,13,The Thirteenth Step,"While the BAU chases a pair of young lovers on an interstate killing spree, Prentiss is contacted by an old friend with some bad news.",2011-01-26,Doug Aarniokoski,Janine Sherman Barrois,7.4,1813,12.77
6,127,14,Sense Memory,"The BAU travels to Los Angeles to investigate unusual murders throughout the city. Also, more of Prentiss' mysterious past comes to light.",2011-02-09,Rob Spera,Randy Huggins,7.3,1652,13.67
6,128,15,Today I Do,The team travels to upstate New York to investigate a series of mysterious disappearances.,2011-02-16,Ali Selim,Alicia Kirk,7.2,1785,12.85
6,129,16,Coda,"The BAU are called to Louisiana to get information from an autistic boy who has witnessed his parents' abduction. Meanwhile, Prentiss calls in two old colleagues to track down Ian Doyle.",2011-02-23,Rob Hardy,Rick Dunkle,8.1,2549,13.15
6,130,17,Valhalla,"When a series of killings occur on the BAU's home turf, Prentiss realizes that Ian Doyle is responsible.",2011-03-02,Charles S. Carroll,Simon Mirren & Erica Messer,8.0,1764,14.37
6,131,18,Lauren,"While Prentiss has gone missing to track down Ian Doyle and finish him, her team attempts to track down her and digs deeper into her past.",2011-03-16,Matthew Gray Gubler,Breen Frazier,8.6,2611,13.73
6,132,19,With Friends Like These...,The BAU travels to Portland to investigate a suspected gang of murderers targeting a new victim each night.,2011-03-30,Anna J. Foerster,Janine Sherman Barrois,7.6,2326,13.05
6,133,20,Hanley Waters,"As the BAU investigates targeted killings in Tampa, they also deal with their own feelings about the loss of Prentiss.",2011-04-06,Jesse Warn,Alicia Kirk & Randy Huggins,7.5,1576,14.08
6,134,21,The Stranger,"The BAU hunts a stalker in San Diego who is targeting college students. Meanwhile, the team comes under Strauss' scrutiny in the wake of the loss of Prentiss.",2011-04-13,Nelson McCormick,Kimberly Ann Harrison & Rick Dunkle,7.3,1433,13.59
6,135,22,Out of the Light,"The BAU is called to a North Carolina mountain town after a woman is found badly injured and another is missing, and they discover that these two are not the only victims.",2011-05-04,Doug Aarniokoski,Roger Hedden,7.4,1464,12.9
6,136,23,Big Sea,The discovery of bodies buried in the ocean floor off Jacksonville prompts the BAU to intervene; Morgan's aunt suspects her missing daughter may be among the dead.,2011-05-11,Glenn Kershaw,Jim Clemente & Breen Frazier,7.2,1589,13.29
6,137,24,Supply & Demand,The team investigates a suspected human trafficking ring; Hotchner suggests changes are coming; J.J. returns to the team.,2011-05-18,Charles S. Carroll,Erica Messer,7.7,1557,12.84
7,138,1,It Takes a Village,"The BAU team is at a crossroads as they are questioned by a Senate Committee for their retaliatory actions in the wake of Prentiss' loss, but an unexpected familiar face could help them win their case and keep the team together.",2011-09-21,Glenn Kershaw,Erica Messer,7.9,1961,14.14
7,139,2,Proof,"The BAU team searches rural Oklahoma when women are found murdered after being robbed of one of their five senses. Also, JJ and Prentiss get the cold shoulder from Reid as he deals with their deception about Prentiss' presumed death.",2011-09-28,Karen Gaviola,Janine Sherman Barrois,7.9,1783,12.58
7,140,3,Dorado Falls,"The BAU team investigates a mass murder at an Internet security company in Charlottesville, Va., but clues reveal it is not a typical serial killer at work. Also, Prentiss must complete recertification training under Morgan's watchful eye.",2011-10-05,Félix Alcalá,Sharon Lee Watson,7.7,1843,13.43
7,141,4,Painless,"The team travel to Boise,Idaho where a serial killer is murdering the survivors of a high school massacre that took place exactly ten years earlier.",2011-10-12,Larry Teng,Breen Frazier,7.8,2124,12.87
7,142,5,From Childhood's Hour,"The BAU team investigates the abductions of young children with troubled mothers in St. Louis. Also, Rossi reconnects with his first wife who has shocking news for him.",2011-10-19,Anna J. Foerster,Bruce Zimmerman,7.4,1582,13.15
7,143,6,Epilogue,"The BAU search California's Angeles National Forest after a number of bodies mysteriously turn up in the mountain lakes there. Also, Rossi struggles with an agonizing decision regarding his ex-wife.",2011-11-02,Guy Ferland,Rick Dunkle,7.3,1656,12.94
7,144,7,There's No Place Like Home,"When a series of tornadoes hits Kansas, the BAU is called in to investigate bodies of young boys that turn up in the aftermath of the storms. Also, work pressures cause tension on JJ's home front.",2011-11-09,Rob Spera,Virgil Williams,7.2,1719,11.36
7,145,8,Hope,Penelope calls in the BAU when a grieving member of an emotional support group that she heads abruptly vanishes at the end of a meeting.,2011-11-16,Michael Watkins,Kimberly Ann Harrison,7.6,2322,12.72
7,146,9,Self-Fulfilling Prophecy,"The BAU team looks into the real reasons behind an apparent mass suicide of a small group of youths at a military academy. Also, Hotch and Morgan butt heads when a team member could be in jeopardy.",2011-12-07,Charlie Haid,Erica Messer,7.6,1516,12.41
7,147,10,The Bittersweet Science,"The team investigates a string of brutal bludgeonings in Philadelphia, leading to the city's boxing scene in search of the killer. Hotch makes a connection with an attractive runner as they both train for a triathlon.",2011-12-14,Rob Hardy,Janine Sherman Barrois,7.2,1595,12.88
7,148,11,True Genius,"The BAU is called to San Francisco to investigate a possible Zodiac Killer copycat. Meanwhile, Reid wonders what he's done in his life as he reaches 30.",2012-01-18,Glenn Kershaw,Sharon Lee Watson,8.4,2575,13.0
7,149,12,Unknown Subject,"The BAU team searches for a serial rapist in Houston known as ""The Piano Man"" who has resurfaced and is assaulting his previous victims. Also, Prentiss tries to come to terms with her trauma from last year and with rejoining the team.",2012-01-25,Michael Lange,Breen Frazier,7.9,1655,13.82
7,150,13,Snake Eyes,A chronic gambler stumbles upon a sure-fire method for manufacturing luck - murder and the number eight.,2012-02-08,Doug Aarniokoski,Bruce Zimmerman,7.2,2287,13.31
7,151,14,Closing Time,The BAU team hit choppy waters on the beaches of Southern California when they discover a series of bodies hidden in lifeguard towers along the coast.,2012-02-15,Jesse Warn,Rick Dunkle,7.2,1545,12.19
7,152,15,A Thin Line,"The BAU team investigates a series of brutal home invasions and murders in California's Inland Empire that appear to be gang-related, but their investigation may uncover a more sinister motivation.",2012-02-22,Michael Watkins,Virgil Williams,7.3,1568,12.78
7,153,16,A Family Affair,"The BAU heads to Atlanta, where stabbings of prostitutes lead the team to suspect more than one unsub.",2012-02-29,Rob Spera,Kimberly Ann Harrison,7.5,1590,12.54
7,154,17,"I Love You, Tommy Brown","When married couples fostering young children end up being killed in Seattle, the BAU team looks for an unsub with a maternal-yet-murderous instinct. Also, Garcia fears a possible proposition from Kevin.",2012-03-14,John Terlesky,Janine Sherman Barrois,7.2,2267,11.43
7,155,18,Foundation,"A boy named Angel is found wandering in the desert, and when another boy turns up missing, the BAU searches for the kidnapper.",2012-03-21,Dermott Downs,Jim Clemente,7.9,1606,12.09
7,156,19,Heathridge Manor,"When an Oregon woman is found dead in an abandoned asylum, the BAU realizes that the victim is part of a series of gothic, ritualistic murders and the suspect might be a Satanist.",2012-04-04,Matthew Gray Gubler,Sharon Lee Watson,8.0,2544,11.34
7,157,20,The Company,The BAU searches for Morgan's cousin in Chicago when his sister Desiree is injured in a car accident after chasing a car presumed to be carrying his cousin.,2012-04-11,Nelson McCormick,Breen Frazier,8.1,1633,11.81
7,158,21,Divining Rod,New deaths upon the heals of a serial killer's execution initially seem intent upon spreading doubt that the true killer met the bullets of the firing squad.,2012-05-02,Doug Aarniokoski,Bruce Zimmerman,7.4,1568,11.47
7,159,22,Profiling 101,"The BUA joins Agent Rossi as university guest lecturers, scheduled on the same day as Rossi's long-term annual commitment to visit an imprisoned serial killer.",2012-05-09,Félix Alcalá,Virgil Williams,8.0,1665,11.62
7,160,23,Hit,"In this first part of a two-part season finale, the BAU encounters a gang of bank-robbing serial killers in the nation's capital. As the team tries to negotiate the situation unfolding inside a bank, one of the team is taken hostage.",2012-05-16,Michael Lange,Rick Dunkle,8.4,1964,13.68
7,161,24,Run,"In part two of the season finale, the BAU races to understand the ultimate goal and core dynamic of the remaining Face Cards and their design in keeping Will captive and alive.",2012-05-16,Glenn Kershaw,Erica Messer,8.4,2009,13.68
8,162,1,The Silencer,The team tracks an escaped inmate who sews his victims mouths shut.,2012-09-26,Glenn Kershaw,Erica Messer,7.4,1660,11.73
8,163,2,The Pact,The team suspects a pair of killers working together after discovering two seemingly unrelated bodies.,2012-10-10,Karen Gaviola,Janine Sherman Barrois,7.4,1608,11.49
8,164,3,Through the Looking Glass,"The team races to find a connection between two families, one murdered and the other abducted.",2012-10-17,Dermott Downs,Sharon Lee Watson,7.5,1499,11.81
8,165,4,God Complex,The team pursues an unsub who surgically performs needless amputations.,2012-10-24,Larry Teng,Breen Frazier,7.8,2329,11.61
8,166,5,The Good Earth,The BAU is asked to investigate when 4 unconnected men go missing without trace. When the body of one victim is found the evidence just adds to the mystery.,2012-10-31,John Terlesky,Bruce Zimmerman,7.4,2067,11.99
8,167,6,The Apprenticeship,The team travels to Miami to track a killer who murders hookers in a style similar to animal slayings.,2012-11-07,Rob Bailey,Virgil Williams,7.6,1767,12.09
8,168,7,The Fallen,The team investigates the burned bodies of several homeless people near the Santa Monica Pier in California.,2012-11-14,Doug Aarniokoski,Teleplay by : Rick Dunkle Story by : Rick Dunkle & Danny Ramm,7.6,1514,12.2
8,169,8,The Wheels on the Bus…,"The team searches for a missing school bus filled with students in Washington, DC.",2012-11-21,Rob Hardy,Kimberly Ann Harrison,7.3,2355,11.53
8,170,9,Magnificent Light,"When a follower of a well-known motivational speaker is murdered, the team suspects the speaker himself.",2012-11-28,John T. Kretchmer,Sharon Lee Watson,7.1,2038,12.37
8,171,10,The Lesson,Deaths of joint-dislocated men with dyed black hair draw the attention of the BAU.,2012-12-05,Matthew Gray Gubler,Janine Sherman Barrois,8.1,2541,11.33
8,172,11,Perennials,"The BAU heads south to investigate a fast-moving UnSub whose signature matches that of a serial killer from 30 years ago. Also, the team learns that someone is tracking their cases and replicating crimes the BAU has solved.",2012-12-12,Michael Lange,Bruce Zimmerman,7.3,1596,12.01
8,173,12,Zugzwang,"When Reid discovers that his girlfriend has been kidnapped by her stalker, he and the BAU team band together to find her before it's too late.",2013-01-16,Jesse Warn,Breen Frazier,8.6,2942,12.64
8,174,13,Magnum Opus,"While Reid copes with a loss in his personal life, the rest of the BAU travels to San Francisco to investigate blood-drained victims discovered in the Mission District.",2013-01-23,Glenn Kershaw,Jason J. Bernero,7.7,2271,11.84
8,175,14,All That Remains,"When the daughters of Bruce Morrison, a writer whose wife mysteriously vanished a year ago, go missing on the anniversary of their mother's disappearance, the BAU is brought in to study Morrison as a possible suspect.",2013-02-06,Thomas Gibson,Erica Messer,7.9,1519,11.98
8,176,15,Broken,"The BAU heads to Austin to investigate victims found wearing watches set inaccurately, a clue which may connect the crimes.",2013-02-20,Larry Teng,Rick Dunkle,7.5,1616,10.69
8,177,16,Carbon Copy,"When victims are found in Philadelphia in a similar style to victims of The Replicator, the stalker who has been tracking the BAU's every move, the team thinks this could be the break they need to try and apprehend him.",2013-02-27,Rob Hardy,Virgil Williams,7.8,1512,10.33
8,178,17,The Gathering,"The BAU investigates victims who were documenting their personal lives and inner desires on blog posts and social media. Also, Kevin gets jealous when he learns Garcia may have a new love interest.",2013-03-20,Michael Lange,Kimberly Ann Harrison,7.3,2051,11.58
8,179,18,Restoration,"The BAU goes to Morgan's old neighbourhood in urban Chicago in search of an UnSub targeting middle-aged men, and a clue leads Morgan to believe that they are after someone connected to the man who molested him as a child.",2013-04-03,Félix Alcalá,Jim Clemente & Janine Sherman Barrois,7.6,1589,10.79
8,180,19,Pay It Forward,"When a time capsule in a small Colorado town is opened 25 years later and contains a gruesome discovery, the BAU investigates that crime and a possible link to the death of a local police officer.",2013-04-10,John Terlesky,Bruce Zimmerman,7.3,1601,11.47
8,181,20,Alchemy,"The BAU travel to Rapid City after two male victims are discovered murdered in a ritualistic manner. Also, Reid continues to grieve over Maeve's death.",2013-05-01,Matthew Gray Gubler,Sharon Lee Watson,7.6,2221,10.13
8,182,21,Nanny Dearest,The BAU travels to Los Angeles looking for an UnSub who is kidnapping nannies and the children they care for on the same day each year.,2013-05-08,Doug Aarniokoski,Virgil Williams,7.7,1910,10.08
8,183,22,#6,"The BAU heads to Detroit when couples are murdered and put in their cars. Meanwhile, Blake's husband shares news with her.",2013-05-15,Karen Gaviola,Breen Frazier,7.4,1678,10.56
8,184,23,Brothers Hotchner,"As The Replicator hones in on one of the BAU, Hotch gets a call from his estranged brother when party people in New York begin ""boiling"" from the inside out.",2013-05-22,Rob Bailey,Rick Dunkle,7.7,1504,11.01
8,185,24,The Replicator,The team searches for Strauss and The Replicator and try to figure out what he wants.,2013-05-22,Glenn Kershaw,Erica Messer,8.2,1825,11.01
9,186,1,The Inspiration,"The team travels to Glendale, Arizona to search for an increasingly devolving killer.",2013-09-25,Glenn Kershaw,Janine Sherman Barrois,7.4,1739,11.27
9,187,2,The Inspired,The team return to Arizona to restart the search for Wallace.,2013-10-02,Larry Teng,Breen Frazier,7.4,1697,11.12
9,188,3,Final Shot,"On a lunch hour in crowded Archer Plaza in Dallas, Texas, a sniper, firing twelve shots, manages to kill six people. The BAU has to figure out if it is a random attack, a targeted attack, a terrorist attack - homegrown or foreign - or even something related to the upcoming fiftieth anniversary of the shooting death of John F. Kennedy. The six unrelated victims were killed in different parts of the plaza, the remaining six bullets splattered elsewhere throughout the plaza, leading to the team initially believing that it was a random attack by someone who was a bad shooter. But the ...",2013-10-09,Bethany Rooney,Sharon Lee Watson,7.7,1538,10.98
9,189,4,To Bear Witness,The team searches for an Unsub who lobotomised his victim.,2013-10-16,Rob Bailey,Erica Messer,7.5,1717,11.06
9,190,5,Route 66,The BAU race a father who kidnapped his daughter to the border while Hotch has visions while fighting for his life in surgery.,2013-10-23,Doug Aarniokoski,Virgil Williams,7.6,1631,11.55
9,191,6,In the Blood,The BAU are called to Utah to investigate the murder of a woman who died by being buried under stones. All while Penelope plans a Day of the Dead party.,2013-10-30,Michael Lange,Bruce Zimmerman,7.4,1571,10.64
9,192,7,Gatekeeper,"Though Rossi is sad because his favorite bar is closing, the team goes to Boston to solve a series of strangulations.",2013-11-06,Matthew Gray Gubler,Rick Dunkle,7.8,2240,9.7
9,193,8,The Return,"When teenagers who were reported missing are suspected of a series of mass murders in Chicago, the BAU investigates their whereabouts to find a motive for the crimes. Also, Morgan has conflicting feelings when his girlfriend takes her job at a hospital as seriously as he takes his.",2013-11-13,John Terlesky,Kimberly Ann Harrison,7.4,1567,11.63
9,194,9,Strange Fruit,"While fixing a burst water main, a city works crew digs up the back yard of the home of the Johnsons - father Charles, mother Tina, and their middle aged son Lyle - upon Tina's approval. The Johnsons have lived at the house for thirty-five years. The crew finds the skeletons of two human bodies buried in the yard. The BAU takes the three members of the Johnson family in for questioning, who they believe know something about the skeletons, primarily because Lyle ran when he saw the authorities at the house. While Hotch, JJ, Morgan, Rossi and Cruz question the Johnsons ...",2013-11-20,Constantine Makris,Janine Sherman Barrois,7.7,1665,12.4
9,195,10,The Caller,"The BAU heads to St. Louis, Missouri where ten year old Andrew Taffert has gone missing. The reason it is a BAU case is that the Tafferts - father Malcolm Taffert and mother Lida Taffert - had been receiving prank calls from someone with a childlike voice stating ""I'm gonna get you"", and that blood was splattered on their front door after Andy had gone missing. Reid notices that this case is much like a fifteen year old cold case that the BAU worked on where the parents in that situation received such prank calls prior to their son being abducted and eventually found ...",2013-11-27,Rob Bailey,Sharon Lee Watson,8.0,1995,11.1
9,196,11,Bully,"When the BAU is called to Kansas City to investigate a series of murders, a tense reunion ensues between Blake and her father, a retired police captain, and her brother, a detective, who must work together to help solve the crime.",2013-12-11,Glenn Kershaw,Virgil Williams,7.5,1465,11.19
9,197,12,The Black Queen,"When a murder investigation opens in San Jose, Garcia is forced to delve into her past as a hacker and reconnect with her former boyfriend to help the BAU solve the case.",2014-01-15,Tawnia McKiernan,Breen Frazier,7.4,2243,10.35
9,198,13,The Road Home,"While the BAU looks for a vigilante killer on the loose in Cleveland, Rossi is concerned when his former Marine sergeant goes missing and heads to Los Angeles to find him. Also, the secret JJ has been keeping from the team may be catching up with her.",2014-01-22,Joe Mantegna,Bruce Zimmerman,7.6,1411,10.35
9,199,14,200,"The BAU call Emily Prentiss for help to find JJ, who has been kidnapped. The truth about JJ and Cruz's past is revealed.",2014-02-05,Larry Teng,Rick Dunkle,8.1,1981,12.92
9,200,15,Mr. & Mrs. Anderson,"When the BAU investigates several murders in the Pittsburgh area, the team searches for a pair of UnSubs working as a team. Also, Garcia and Morgan share their Valentine's Day plans for their respective significant others.",2014-02-19,Félix Alcalá,Kimberly Ann Harrison,7.4,1439,10.06
9,201,16,Gabby,"When a 4-year-old girl goes missing while staying with a relative in Mississippi, the BAU uncovers some startling truths as the team races to find the child and bring her to safety.",2014-02-26,Thomas Gibson,Jim Clemente & Erica Messer,8.0,1743,9.42
9,202,17,Persuasion,"When mysteriously drowned bodies are discovered in the Las Vegas desert, the BAU tries to figure out the true cause and motive for the murders.",2014-03-05,Rob Lieberman,Sharon Lee Watson,7.6,2046,11.42
9,203,18,Rabid,"The BAU travels to Milwaukee when multiple murder victims are found in shallow graves, with no apparent cause of death.",2014-03-12,Doug Aarniokoski,Virgil Williams,7.6,1488,10.74
9,204,19,The Edge of Winter,"As the BAU wraps up an investigation into unusual stabbings in upstate New York, Morgan's visit with a survivor could uncover more questions left for the team to answer.",2014-03-19,Hanelle Culpepper,Janine Sherman Barrois,7.6,1575,10.14
9,205,20,Blood Relations,"When the bodies of two murder victims are found in a backwoods community in West Virginia, the BAU uncovers a long-simmering feud between two families and must investigate which one of them could be responsible for the deaths.",2014-04-02,Matthew Gray Gubler,Breen Frazier,7.9,2313,10.47
9,206,21,What Happens In Mecklinburg…,"When 3 unrelated people, of different ages and gender, are kidnapped the BAU races to find the connection and find them before the Unsub kills them.",2014-04-09,Rob Hardy,Ticona S. Joy,7.4,1704,9.85
9,207,22,Fatal,"The BAU must track down a killer who sends their victims a warning before poisoning them with arsenic, without ever seeming to come in contact with them.",2014-04-30,Larry Teng,Bruce Zimmerman,7.4,1662,10.3
9,208,23,Angels,The BAU is called to Texas to consult on the murders of victims with links to prostitution.,2014-05-07,Rob Bailey,Rick Dunkle & Breen Frazier & Janine Sherman Barrois,8.2,1940,10.52
9,209,24,Demons,"When Reid is in serious condition after the shootout with the Preacher, the BAU begins to investigate the Sheriff's Deputies.",2014-05-14,Glenn Kershaw,Erica Messer,8.6,2387,12.03
10,210,1,X,"The team investigates a serial murder case in Bakersfield, California.",2014-10-01,Glenn Kershaw,Erica Messer,7.7,1866,11.74
10,211,2,Burn,The team heads to Seattle to hunt for a murderer who's MO appears to change at random.,2014-10-08,Karen Gaviola,Janine Sherman Barrois,7.2,2189,10.57
10,212,3,A Thousand Suns,A terrorist hacks a passenger's tablet and uses it to take control of the auto pilot of a plane in order to crash it.,2014-10-15,Rob Bailey,Sharon Lee Watson,7.7,2177,10.89
10,213,4,The Itch,"Atlanta PD has invited the BAU in for an equivocal death investigation, that of investigative journalist Albert Stillman, who died being run over late one evening as he wandered into highway traffic. An eyewitness who tried to help Stillman just before he was run over states that he was waving his arms in the air yelling, ""get them off me"", this depiction which goes against Stillman's history of no mental illness. Reluctantly, Stillman's editor, John Carlson, discloses that Stillman was using heroin as medication for a back problem. Stillman was scheduled to meet with...",2014-10-22,Larry Teng,Breen Frazier,7.3,1651,9.92
10,214,5,Boxed In,"On October 30, 2014, a frightened eleven year old Joshua Parker is found at a Halloween fair in San Diego. He went missing on Halloween day the previous year. His case mimics that of Tommy Wilcox, who went missing on Halloween 2012 in Los Angeles, only to be found on Venice Beach October 30, 2013, alive but he who eventually died of malnutrition a few hours later. Joshua, however, is expected to live. Both boys had atrophied muscles, and had splinters and puncture wounds, although Joshua seems to have been fed somewhat properly. Both boys were also considered troubled...",2014-10-29,Thomas Gibson,Virgil Williams,7.4,1761,10.48
10,215,6,If the Shoe Fits,"The BAU is stumped to find the common denominator among male victims in Montana, making it difficult to profile the UnSub. Meanwhile JJ deals with her feelings about a family crisis.",2014-11-05,Bethany Rooney,Bruce Zimmerman,7.5,1835,9.78
10,216,7,Hashtag,"People in Maryland with large social media followings are murdered by an unsub who takes on the persona of an Internet urban legend. Meanwhile, Morgan and Savannah struggle to find quality time for each other due to their business careers.",2014-11-12,Constantine Makris,Rick Dunkle,7.5,1544,10.35
10,217,8,The Boys of Sudworth Place,"A former Boston prosecutor turned successful defense attorney is abducted. As the team probes, past secrets of his life surface.",2014-11-19,Laura Belsey,Kimberly Ann Harrison,7.4,1551,10.68
10,218,9,Fate,"Rossi encounters an avid follower with an important secret, and a physically and psychologically damaged woman lets loose with personal murders.",2014-11-26,Rob Bailey,Janine Sherman Barrois,7.4,1615,11.0
10,219,10,Amelia Porter,"The BAU is called to Salt Lake City, Utah to investigate a suspicious triple-homicide. Throughout the course of their investigation, they eventually discover that a fugitive killer could possibly be linked to the UnSub and he could also be a familiar face.",2014-12-10,Alrick Riley,Sharon Lee Watson,7.2,1860,10.12
10,220,11,The Forever People,"The team head out to Nevada after several frozen bodies are found floating in water somewhere. Whilst the BAU investigate it is revealed the victims were apart of a religious cult which they believe could be responsible for the deaths. Meanwhile, JJ is forced to confront some difficult emotions and demons on the one year anniversary of her abduction, and leans on Reid to help her get through.",2015-01-14,Tawnia McKiernan,Breen Frazier,7.6,2127,10.31
10,221,12,Anonymous,"The BAU searches Tallahassee for a serial killer who calls the authorities to report the crimes prior to committing them. Also, as Rossi prepares for a weekend visit with his daughter, Joy, he receives startling news about the death of a comrade from the Vietnam War.",2015-01-21,Joe Mantegna,Teleplay by : Bruce Zimmerman Story by : Danny Ramm & Bruce Zimmerman,7.5,1617,10.29
10,222,13,Nelson's Sparrow,The members of the BAU team are brought back to their origins as they look at one of Gideon and Rossi's old cases.,2015-01-28,Glenn Kershaw,Kirsten Vangsness & Erica Messer,8.0,2209,10.7
10,223,14,Hero Worship,"The BAU heads to Indianapolis, Indiana where a bomb has just exploded at a popular chain coffee house, killing several. The police believe this bomb, crudely made using TNT, is related to a bombing one week earlier at a school, also using TNT. That bomb, because it was detonated at night, killed only one, the night time custodian, who was not supposed to be in the school at the time. Based on the exact location of the coffee shop bomb, Rossi and Morgan are uncertain if the bomb was meant to be as deadly as it was or not. In relative terms, there were also some good ...",2015-02-04,Larry Teng,Rick Dunkle,7.3,2088,10.48
10,224,15,Scream,Peter Folkmore was an abused child and is an abuser as an adult. He captures women and abuses them for not reciting the exact instruction Peter gives them.,2015-02-11,Hanelle Culpepper,Kimberly Ann Harrison,7.3,1559,9.89
